Title,Year
1917,2019
2001: A Space Odyssey,1968
2010: The Year We Make Contact,1984
A Beautiful Mind,2001
A Bronx Tale,1993
A Clockwork Orange,1971
A Complete Unknown,2024
A Few Good Men,1992
A Fistful of Dollars,1964
Ad Astra,2019
After Hours,1985
Alien,1979
All Quiet on the Western Front,2022
American Psycho,2000
American Made,2017
Angel Heart,1987
Angels with Dirty Faces,1938
Apocalypse Now,1979
Apocalypto,2006
Arrival,2016
Arthur Christmas,2011
Assault on Precinct 13,1976
Banditi a Milano,1968
Barry Lyndon,1975
Batman Begins,2005
The Dark Knight,2008
Beverly Hills Cop,1984
Bicycle Thieves,1948
Black Hawk Down,2001
Blade Runner 2049,2017
Blazing Saddles,1974
Blood Simple,1984
Blue Velvet,1986
Body Heat,1981
Bullet Train,2022
Captain Phillips,2013
Casablanca,1942
Casino,1995
Casino Royale,2006
Catch Me If You Can,2002
Chinatown,1974
Citizen Kane,1941
Civil War,2024
Clue,1985
Collateral,2004
Conclave,2024
Das Boot,1981
Defiance,2008
Deliverance,1972
Die Hard,1988
Dirty Harry,1971
Disturbia,2007
Django Unchained,2012
Dog Day Afternoon,1975
Donnie Brasco,1997
Double Indemnity,1944
Dr. Strangelove,1964
Drive,2011
Dune,2021
Dune Part Two,2024
Dunkirk,2017
Eastern Promises,2007
Edward Scissorhands,1990
End of Watch,2012
Enemy,2013
Luci del varietà,1950
Lo sceicco bianco,1952
I vitelloni,1953
La strada,1954
Il bidone,1955
Le notti di Cabiria,1957
La dolce vita,1960
Otto e Mezzo,1963
Giulietta degli spiriti,1965
Satyricon,1969
Roma,1972
Amarcord,1973
La nave va,1983
Intervista,1987
Mi ricordo, sì, io mi ricordo,1997
Falling Down,1993
Fantastic Mr. Fox,2009
Fast Times at Ridgemont High,1982
Fatal Attraction,1987
Fight Club,1999
For a Few Dollars More,1965
Frantic,1988
Full Metal Jacket,1987
Fury,2014
Futurama,1999
Gangs of New York,2002
Gladiator,2000
Glengarry Glen Ross,1992
Good Time,2017
Goodfellas,1990
Green Book,2018
Greyhound,2020
Guy Ritchie's The Covenant,2023
Heat,1995
Hell or High Water,2016
Hostiles,2017
How the Grinch Stole Christmas,2000
Il cittadino si ribella - Street Law,1974
Il Mostro,1994
Il Capo dei Capi,2007
In a Lonely Place,1950
In Bruges,2008
Inglourious Basterds,2009
Insomnia,2002
Interstellar,2014
Jackie Brown,1997
Jacob's Ladder,1990
Jason Bourne,2016
Jesus of Nazareth,1977
John Wick Chapter 2,2017
John Wick,2014
Kill Them Softly,2012
Kingdom of Heaven,2005
L.A. Confidential,1997
La Haine,1995
Le Cercle Rouge,1970
Le Samourai,1967
